征免性质代码,征免性质简称,征免性质全称
101,一般征税,一般征税进出口货物 
118,整车征税,构成整车特征的汽车零部件纳税
119,零部件征税,不构成整车特征的汽车零部件纳税
201,无偿援助,无偿援助进出口物资 
299,其他法定,其他法定减免税进出口货物 
301,特定区域,特定区域进口自用物资及出口货物 
307,保税区 ,保税区进口自用物资 
399,其他地区,其他执行特殊政策地区出口货物 
401,科教用品,大专院校及科研机构进口科教用品 
403,技术改造,企业技术改造进口货物 
406,重大项目,国家重大项目进口货物 
408,重大技术装备,生产重大技术装备进口关键零部件及原材料
412,基础设施,通信、港口、铁路、公路、机场建设进口设备 
413,残疾人 ,残疾人组织和企业进出口货物 
417,远洋渔业,远洋渔业自捕水产品 
418,国产化 ,国家定点生产小轿车和摄录机企业进口散件 
419,整车特征,构成整车特征的汽车零部件进口
420,远洋船舶,远洋船舶及设备部件 
421,内销设备,内销远洋船用设备及关键部件
422,集成电路,集成电路生产企业进口货物
423,新型显示器件,新型显示器件生产企业进口物资
499,ITA产品,非全税号信息技术产品
501,加工设备,加工贸易外商提供的不作价进口设备 
502,来料加工,来料加工装配和补偿贸易进口料件及出口成品 
503,进料加工,进料加工贸易进口料件及出口成品 
506,边境小额,边境小额贸易进口货物 
510,港澳OPA,港澳在内地加工的纺织品获证出口
601,中外合资,中外合资经营企业进出口货物 
602,中外合作,中外合作经营企业进出口货物 
603,外资企业,外商独资企业进出口货物 
605,勘探开发煤层气,勘探开发煤层气
606,海洋石油,勘探、开发海洋石油进口货物 
608,陆上石油,勘探、开发陆上石油进口货物 
609,贷款项目,利用贷款进口货物 
611,贷款中标,国际金融组织贷款、外国政府贷款中标机电设备零部件 
698,公益收藏,国有公益性收藏单位进口藏品
789,鼓励项目,国家鼓励发展的内外资项目进口设备 
799,自有资金,外商投资额度外利用自有资金进口设备、备件、配件 
801,救灾捐赠,救灾捐赠进口物资 
802,扶贫慈善,境外向我境内无偿捐赠用于扶贫慈善的免税进口物资 
888,航材减免,经核准的航空公司进口维修用航空器材
898,国批减免,国务院特准减免税的进出口货物 
997,自贸协定, 
998,内部暂定,享受内部暂定税率的进出口货物 
999,例外减免,例外减免税进出口货物 
