贸易方式代码,贸易方式简称,贸易方式全称
0110,一般贸易,一般贸易
0130,易货贸易,易货贸易
0139,旅游购物商品,用于旅游者5万美元以下的出口小批量订货
0200,料件放弃,主动放弃交由海关处理的来料或进料加工料件
0214,来料加工,来料加工装配贸易进口料件及加工出口货物
0245,来料料件内销,来料加工料件转内销
0255,来料深加工,来料深加工结转货物
0258,来料余料结转,来料加工余料结转
0265,来料料件复出,来料加工复运出境的原进口料件
0300,来料料件退换,来料加工料件退换
0314,加工专用油,国营贸易企业代理来料加工企业进口柴油
0320,不作价设备,加工贸易外商提供的不作价进口设备
0345,来料成品减免,来料加工成品凭征免税证明转减免税
0400,成品放弃,主动放弃交由海关处理的来料及进料加工成品
0420,加工贸易设备,加工贸易项下外商提供的进口设备
0444,保区进料成品,按成品征税的保税区进料加工成品转内销货物
0445,保区来料成品,按成品征税的保税区来料加工成品转内销货物
0446,加工设备内销,加工贸易免税进口设备转内销
0456,加工设备结转,加工贸易免税进口设备结转
0466,加工设备退运,加工贸易免税进口设备退运出境
0500,减免设备结转,用于监管年限内减免税设备的结转
0513,补偿贸易,补偿贸易
0544,保区进料料件,按料件征税的保税区进料加工成品转内销货物
0545,保区来料料件,按料件征税的保税区来料加工成品转内销货物
0615,进料对口,进料加工(对口合同)
0642,进料以产顶进,进料加工成品以产顶进
0644,进料料件内销,进料加工料件转内销
0654,进料深加工,进料深加工结转货物
0657,进料余料结转,进料加工余料结转
0664,进料料件复出,进料加工复运出境的原进口料件
0700,进料料件退换,进料加工料件退换
0715,进料非对口,进料加工(非对口合同)
0744,进料成品减免,进料加工成品凭征免税证明转减免税
0815,低值辅料,低值辅料
0844,进料边角料内销,进料加工项下边角料转内销
0845,来料边角料内销,来料加工项下边角料内销
0864,进料边角料复出,进料加工项下边角料复出口
0865,来料边角料复出,来料加工项下边角料复出口
1139,国轮油物料,中国籍运输工具境内添加的保税油料、物料
1200,保税间货物,海关保税场所及保税区域之间往来的货物
1215,保税工厂,保税工厂
1233,保税仓库货物,保税仓库进出境货物
1234,保税区仓储转口,保税区进出境仓储转口货物
1300,修理物品,进出境修理物品
1427,出料加工,出料加工
1500,租赁不满1年,租期不满1年的租赁贸易货物
1523,租赁贸易,租期在1年及以上的租赁贸易货物
1616,寄售代销,寄售、代销贸易
1741,免税品,免税品
1831,外汇商品,免税外汇商品
2025,合资合作设备,合资合作企业作为投资进口设备物品
2225,外资设备物品,外资企业作为投资进口的设备物品
2439,常驻机构公用,外国常驻机构进口办公用品
2600,暂时进出货物,暂时进出口货物
2700,展览品,进出境展览品
2939,陈列样品,驻华商业机构不复运出口的进口陈列样品
3010,货样广告品Ａ,有经营权单位进出口的货样广告品
3039,货样广告品Ｂ,无经营权单位进出口的货样广告品
3100,无代价抵偿,无代价抵偿进出口货物
3339,其他进出口免费,其他进出口免费提供货物
3410,承包工程进口,对外承包工程进口物资
3422,对外承包出口,对外承包工程出口物资
3511,援助物资,国家和国际组织无偿援助物资
3611,无偿军援,无偿军援
3612,捐赠物资,进出口捐赠物资
3910,军事装备,军事装备 
4019,边境小额,边境小额贸易(边民互市贸易除外)
4039,对台小额,对台小额贸易
4139,对台小额商品交易市场,进入对台小额商品交易专用市场的货物
4200,驻外机构运回,我驻外机构运回旧公用物品
4239,驻外机构购进,我驻外机构境外购买运回国的公务用品
4400,来料成品退换,来料加工成品退换
4500,直接退运,直接退运
4539,进口溢误卸,进口溢卸、误卸货物
4561,退运货物,因质量不符、延误交货等原因退运进出境货物
4600,进料成品退换,进料成品退换
5000,料件进出区,料件进出海关特殊监管区域
5010,特殊区域研发货物,海关特殊监管区域与境外之间进出的研发货物
5014,区内来料加工,海关特殊监管区域与境外之间进出的来料加工货物
5015,区内进料加工货物,海关特殊监管区域与境外之间进出的进料加工货物
5033,区内仓储货物,加工区内仓储企业从境外进口的货物
5034,区内物流货物,海关特殊监管区域与境外之间进出的物流货物
5100,成品进出区,成品进出海关特殊监管区域
5200,区内边角调出,用于区内外非实际进出境货物
5300,设备进出区,设备及物资进出海关特殊监管区域
5335,境外设备进区,海关特殊监管区域从境外进口的设备及物资
5361,区内设备退运,海关特殊监管区域设备及物资退运境外
6033,物流中心进出境货物,保税物流中心与境外之间进出仓储货物
9600,内贸货物跨境运输,内贸货物跨境运输
9639,海关处理货物,海关变卖处理的超期未报货物、走私违规货物
9700,后续补税,无原始报关单的后续补税
9739,其他贸易,其他贸易
9800,租赁征税,租赁期1年及以上的租赁贸易货物的租金
9839,留赠转卖物品,外交机构转售境内或国际活动留赠放弃特批货物
9900,其他,其他
